In what country can you find a clock tower called the Big Ben?,England
What is the capital of England?,London
"Where in the British isles is the Great Laxey Wheel, also known as the Lady Isabella, the world’s largest working water wheel?",Isle of Man
"In which country is the UK’s highest mountain, Ben Nevis?",Scotland
"Which of the following is the longest motorway in Britain? The V2, the H4, or the M6?",M6
"The island of Lindisfarne, found off the coast of northeast England, is also known by which of the following names? Hotel Island, Holy Island, or Haunted Island?",Holy Island
Which seaside resort was the first in England to have an officially designated nudist beach?,Brighton
"Found in the English county of Berkshire, what is the oldest and largest occupied castle in the world?",Windsor Castle
What is London's subway system called?,The tube
What is the tallest building in London?,The Shard
Which country is part of the United Kingdom but not Great Britain?,Northern Ireland
Which capital city is home to the largest library in the world?,London
Which of the following is Scotland's national sport? ,Golf
How many times were the summer olympics held in England?,Three
"Found in the county of East Sussex, which seaside resort in Southeast England is the most popular seaside destination in the UK for overseas tourists?",Brighton
"Which of the following cities is the most populous in Scotland? Edinburgh, Liverpool, or Glasgow?",Glasgow
Which river is the capital city of England situated on?,Thames
"What city is the most populous in England, with nearly 10 million people?",London
"Originally designated as a hunting grounds by Henry the eighth, Hyde Park is found in what city?",London
What is the capital of France?,Paris
In which city is the Eiffel Tower located?,Paris
Which river flows through Paris?,Seine
A road tunnel runs from Pelerins in France to Entreves in Italy under which mountain?,Mont Blanc
New Caledonia is a dependent state of which country?,France
What country does Disney's Beauty and the Beast take place in?,France
French mail boxes are what color?,Yellow
Which french saint was burnt as the stake in 1431 as a heretic?,Joan of Arc
When is Bastille Day?,July 14th
Which instrument was used during French Revolution for beheading?,Guillotine
Which state of the U.S.A. was once a french colony?,Louisiana
Which country was defeated by France to win the football/soccer world cup in 1998?,Brazil
What is the name of the world's best known cycling race?,Tour de France
What does Notre Dame mean?,Our Lady
What is the capital of Germany?,Berlin
"Where in the world can you find the world's tallest gothic cathedral, the Cologne Cathedral?",Germany
Which European country shares its border with the most neighbours (nine)?,Germany
"Apart from Dutch and French, what is the other official language of Belgium?",German
Saxony was a former state of which country?,Germany
Which famous German city is situated at the confluence of three rivers?,Passau
How many states does Germany have?,Sixteen
Which river does the city Hamberg rest upon?,Elbe
In what year did Berlin become the capital of Germany?,1871
What is the German highway with no speed limit called?,Autobahn
What is the capital of Portugal?,Lisbon
"What language is spoken in Brazil, Portugal, and 7 other countries?",Portuguese
"The longest bridge in Europe, the Vasco da Gama Bridge, spans 10 point 7 miles. In which country can it be found?",Portugal
Which is the only country that shares a land border with Portugal?,Spain
Which country is the westernmost country of mainland Europe?,Portugal
Which European country on the Iberian Peninsula has a coastline that spans 800 kilometers and is known for its surf spots?,Portugal
"Which of the following colonial powers was the first to abolish slavery? Franec, Spain, Portugal, or the United States?",Portugal
Which ocean does Portugal border?,Atlantic Ocean
" The professional footballer, Cristiano Ronaldo, was born on the island of Madeira in which country?",Portugal
What is the capital of Norway?,Oslo
Which King of Norway ascended to the throne in 1991?,Harald
"Who was the first Prime Minister of Norway, Elected in 1905?",Christian Michelsen
Which Scandinavian country is home to the Stortinget parliament in Oslo?,Norway
Which country shares the largest border with Norway?,Sweden
What color is the background of the Norwegian flag?,Red
In what Norwegian city were the olympics held in 1952?,Oslo
How many countries does Norway border?,Three
"The Galdhoepiggen, the tallest mountain in Scandinavia and Northern Europe, is found in which country?",Norway
What is the name of the oldest existing city in Norway?,Toensberg
What is the name of the longest river in Norway?,Glomma
What is the name of the largest glacier in Norway?,Jostedalsbreen
What is the Northernmost city of mainland Norway?,Hammerfest
What is the name of the deepest lake in Norway?,Hornindalsvatn
What is the capital of Spain?,Madrid
Which country covers about 85% of the Iberian Peninsula?,Spain
"Found on the southern coast of what country is Andalusia, which produces over half of the world's olive oil?",Spain
Which country on the Iberian Peninsula has over eight thousand beaches?,Spain
